task_type,task_number,task_name,example_type,example_number,input_height,input_width,output_height,output_width,input_filename,output_filename,input_grid,output_grid
training,5,045e512c.json,test,1,21,21,21,21,img/tasks/045e512c_test_input_1.png,img/tasks/045e512c_test_output_1.png,|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000040000000000|000000000040000000000|000000000000000000000|000000888020000000000|000000808020000000000|000000808020000000000|000000000000000000000|000000333000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|000000000000000000000|,|000000000000004040000|000000000000004040000|000000000000000000000|000000000044400000000|000000000040400000000|000000000040400000000|000000000000000000000|000000888022202220222|000000808020202020202|000000808020202020202|000000000000000000000|000000333000000000000|000000303000000000000|000000303000000000000|000000000000000000000|000000333000000000000|000000303000000000000|000000303000000000000|000000000000000000000|000000333000000000000|000000303000000000000|
training,6,0520fde7.json,train,1,3,7,3,3,img/tasks/0520fde7_train_input_1.png,img/tasks/0520fde7_train_output_1.png,|1005010|0105111|1005000|,|000|020|000|
training,6,0520fde7.json,train,2,3,7,3,3,img/tasks/0520fde7_train_input_2.png,img/tasks/0520fde7_train_output_2.png,|1105010|0015111|1105010|,|020|002|020|
training,6,0520fde7.json,train,3,3,7,3,3,img/tasks/0520fde7_train_input_3.png,img/tasks/0520fde7_train_output_3.png,|0015000|1105101|0115101|,|000|200|002|
training,6,0520fde7.json,test,1,3,7,3,3,img/tasks/0520fde7_test_input_1.png,img/tasks/0520fde7_test_output_1.png,|1015101|0105101|1015010|,|202|000|000|
training,7,05269061.json,train,1,7,7,7,7,img/tasks/05269061_train_input_1.png,img/tasks/05269061_train_output_1.png,|2830000|8300000|3000000|0000000|0000000|0000000|0000000|,|2832832|8328328|3283283|2832832|8328328|3283283|2832832|
training,7,05269061.json,train,2,7,7,7,7,img/tasks/05269061_train_input_2.png,img/tasks/05269061_train_output_2.png,|0000000|0000000|0000001|0000012|0000124|0001240|0012400|,|2412412|4124124|1241241|2412412|4124124|1241241|2412412|
training,7,05269061.json,train,3,7,7,7,7,img/tasks/05269061_train_input_3.png,img/tasks/05269061_train_output_3.png,|0000830|0008300|0083000|0830004|8300040|3000400|0004000|,|4834834|8348348|3483483|4834834|8348348|3483483|4834834|
training,7,05269061.json,test,1,7,7,7,7,img/tasks/05269061_test_input_1.png,img/tasks/05269061_test_output_1.png,|0100002|1000020|0000200|0002000|0020000|0200004|2000040|,|2142142|1421421|4214214|2142142|1421421|4214214|2142142|
training,8,05f2a901.json,train,1,14,9,14,9,img/tasks/05f2a901_train_input_1.png,img/tasks/05f2a901_train_output_1.png,|000000000|000000000|022200000|220200000|000000000|000000000|000000000|000000000|000000000|000000000|000880000|000880000|000000000|000000000|,|000000000|000000000|000000000|000000000|000000000|000000000|000000000|000000000|022200000|220200000|000880000|000880000|000000000|000000000|
training,8,05f2a901.json,train,2,9,10,9,10,img/tasks/05f2a901_train_input_2.png,img/tasks/05f2a901_train_output_2.png,|0000000000|0220000000|0220000000|2220000000|0220008800|0000008800|0000000000|0000000000|0000000000|,|0000000000|0000220000|0000220000|0002220000|0000228800|0000008800|0000000000|0000000000|0000000000|
training,8,05f2a901.json,train,3,11,10,11,10,img/tasks/05f2a901_train_input_3.png,img/tasks/05f2a901_train_output_3.png,|0000000000|0008800000|0008800000|0000000000|0000000000|0000000000|0002220000|0222220000|0022000000|0000000000|0000000000|,|0000000000|0008800000|0008800000|0002220000|0222220000|0022000000|0000000000|0000000000|0000000000|0000000000|0000000000|
training,8,05f2a901.json,test,1,11,10,11,10,img/tasks/05f2a901_test_input_1.png,img/tasks/05f2a901_test_output_1.png,|0000000000|0000000000|0000000000|0000000000|0000020000|0000022000|0880022000|0880002000|0000000000|0000000000|0000000000|,|0000000000|0000000000|0000000000|0000000000|0002000000|0002200000|0882200000|0880200000|0000000000|0000000000|0000000000|
training,9,06df4c85.json,train,1,20,20,20,20,img/tasks/06df4c85_train_input_1.png,img/tasks/06df4c85_train_output_1.png,|00800800800800800800|00800800800800800800|88888888888888888888|00822800800800822800|00822800800800822800|88888888888888888888|00800800811800800800|00800800811800800800|88888888888888888888|00800800800800822800|00800800800800822800|88888888888888888888|00833800833800800800|00833800833800800800|88888888888888888888|00800800800800800800|00800800800800800800|88888888888888888888|00800800800800800800|00800800800800800800|,|00800800800800800800|00800800800800800800|88888888888888888888|00822822822822822800|00822822822822822800|88888888888888888888|00800800811800822800|00800800811800822800|88888888888888888888|00800800800800822800|00800800800800822800|88888888888888888888|00833833833800800800|00833833833800800800|88888888888888888888|00800800800800800800|00800800800800800800|88888888888888888888|00800800800800800800|00800800800800800800|
training,9,06df4c85.json,train,2,23,23,23,23,img/tasks/06df4c85_train_input_2.png,img/tasks/06df4c85_train_output_2.png,|00100100100100100100100|00100100100100100100100|11111111111111111111111|00122100100144100100100|00122100100144100100100|11111111111111111111111|00100100100100100100100|00100100100100100100100|11111111111111111111111|00100100199100100100199|00100100199100100100199|11111111111111111111111|00100100100100100188100|00100100100100100188100|11111111111111111111111|00122100100100100100100|00122100100100100100100|11111111111111111111111|00100100188100100188100|00100100188100100188100|11111111111111111111111|00100100100100100100100|00100100100100100100100|,|00100100100100100100100|00100100100100100100100|11111111111111111111111|00122100100144100100100|00122100100144100100100|11111111111111111111111|00122100100100100100100|00122100100100100100100|11111111111111111111111|00122100199199199199199|00122100199199199199199|11111111111111111111111|00122100100100100188100|00122100100100100188100|11111111111111111111111|00122100100100100188100|00122100100100100188100|11111111111111111111111|00100100188188188188100|00100100188188188188100|11111111111111111111111|00100100100100100100100|00100100100100100100100|
training,9,06df4c85.json,train,3,23,23,23,23,img/tasks/06df4c85_train_input_3.png,img/tasks/06df4c85_train_output_3.png,|00400400400400400400400|00400400400400400400400|44444444444444444444444|00433400400400422400400|00433400400400422400400|44444444444444444444444|00400400400400400400400|00400400400400400400400|44444444444444444444444|00400400422400400422400|00400400422400400422400|44444444444444444444444|00400400400400400400400|00400400400400400400400|44444444444444444444444|00400400400400400400400|00400400400400400400400|44444444444444444444444|00433400400400433400400|00433400400400433400400|44444444444444444444444|00400400400400400400400|00400400400400400400400|,|00400400400400400400400|00400400400400400400400|44444444444444444444444|00433400400400422400400|00433400400400422400400|44444444444444444444444|00433400400400400400400|00433400400400400400400|44444444444444444444444|00433400422422422422400|00433400422422422422400|44444444444444444444444|00433400400400400400400|00433400400400400400400|44444444444444444444444|00433400400400400400400|00433400400400400400400|44444444444444444444444|00433433433433433400400|00433433433433433400400|44444444444444444444444|00400400400400400400400|00400400400400400400400|
training,9,06df4c85.json,test,1,26,26,26,26,img/tasks/06df4c85_test_input_1.png,img/tasks/06df4c85_test_output_1.png,|00400400400400400400400400|00400400400400400400400400|44444444444444444444444444|00400488400400422400400400|00400488400400422400400400|44444444444444444444444444|00400400400400400400400400|00400400400400400400400400|44444444444444444444444444|00400400400400400400433400|00400400400400400400433400|44444444444444444444444444|00400488400400400400400400|00400488400400400400400400|44444444444444444444444444|00400400400400400400400400|00400400400400400400400400|44444444444444444444444444|00422400400400422400400400|00422400400400422400400400|44444444444444444444444444|00400400400400400400400400|00400400400400400400400400|44444444444444444444444444|00400400400400400400400400|00400400400400400400400400|,|00400400400400400400400400|00400400400400400400400400|44444444444444444444444444|00400488400400422400400400|00400488400400422400400400|44444444444444444444444444|00400488400400422400400400|00400488400400422400400400|44444444444444444444444444|00400488400400422400433400|00400488400400422400433400|44444444444444444444444444|00400488400400422400400400|00400488400400422400400400|44444444444444444444444444|00400400400400422400400400|00400400400400422400400400|44444444444444444444444444|00422422422422422400400400|00422422422422422400400400|44444444444444444444444444|00400400400400400400400400|00400400400400400400400400|44444444444444444444444444|00400400400400400400400400|00400400400400400400400400|
training,10,08ed6ac7.json,train,1,9,9,9,9,img/tasks/08ed6ac7_train_input_1.png,img/tasks/08ed6ac7_train_output_1.png,|000005000|050005000|050005000|050505000|050505000|050505000|050505050|050505050|050505050|,|000001000|020001000|020001000|020301000|020301000|020301000|020301040|020301040|020301040|
training,10,08ed6ac7.json,train,2,9,9,9,9,img/tasks/08ed6ac7_train_input_2.png,img/tasks/08ed6ac7_train_output_2.png,|000000000|000000050|000000050|000000050|000500050|000505050|000505050|050505050|050505050|,|000000000|000000010|000000010|000000010|000200010|000203010|000203010|040203010|040203010|
training,10,08ed6ac7.json,test,1,9,9,9,9,img/tasks/08ed6ac7_test_input_1.png,img/tasks/08ed6ac7_test_output_1.png,|000000000|050000000|050005000|050005000|050005050|050005050|050505050|050505050|050505050|,|000000000|010000000|010002000|010002000|010002030|010002030|010402030|010402030|010402030|
training,11,09629e4f.json,train,1,11,11,11,11,img/tasks/09629e4f_train_input_1.png,img/tasks/09629e4f_train_output_1.png,|20050625004|04354085306|60053005802|55555555555|38056205048|00450045600|62053805032|55555555555|03650205060|20054085008|80456305234|,|22250005000|22250005000|22250005000|55555555555|00054445333|00054445333|00054445333|55555555555|66650005000|66650005000|66650005000|
training,11,09629e4f.json,train,2,11,11,11,11,img/tasks/09629e4f_train_input_2.png,img/tasks/09629e4f_train_output_2.png,|20354605060|00850025403|46053805208|55555555555|40850025064|00250305300|30654065802|55555555555|36050845200|08452005803|20050365640|,|00050005222|00050005222|00050005222|55555555555|00053335000|00053335000|00053335000|55555555555|44450005666|44450005666|44450005666|
training,11,09629e4f.json,train,3,11,11,11,11,img/tasks/09629e4f_train_input_3.png,img/tasks/09629e4f_train_output_3.png,|03050635062|60452805008|02850405304|55555555555|02054035340|40852065002|36050805860|55555555555|63050305003|00250645280|84052005406|,|00053335000|00053335000|00053335000|55555555555|00056665444|00056665444|00056665444|55555555555|22250005000|22250005000|22250005000|
training,11,09629e4f.json,train,4,11,11,11,11,img/tasks/09629e4f_train_input_4.png,img/tasks/09629e4f_train_output_4.png,|38454605208|00058035603|62050205400|55555555555|04258035040|08650045026|03052605030|55555555555|06056205360|30850835004|42050045208|,|00054445000|00054445000|00054445000|55555555555|00052225666|00052225666|00052225666|55555555555|00053335000|00053335000|00053335000|
training,11,09629e4f.json,test,1,11,11,11,11,img/tasks/09629e4f_test_input_1.png,img/tasks/09629e4f_test_output_1.png,|64050305040|00352865802|20854005630|55555555555|20050305362|34658425004|08050065800|55555555555|02450645028|06350035406|00052085300|,|00052225444|00052225444|00052225444|55555555555|00056665333|00056665333|00056665333|55555555555|00050005000|00050005000|00050005000|
training,12,0962bcdd.json,train,1,12,12,12,12,img/tasks/0962bcdd_train_input_1.png,img/tasks/0962bcdd_train_output_1.png,|000000000000|000000000000|007000000000|072700000000|007000000000|000000000000|000000007000|000000072700|000000007000|000000000000|000000000000|000000000000|,|000000000000|207020000000|027200000000|772770000000|027200000000|207020207020|000000027200|000000772770|000000027200|000000207020|000000000000|000000000000|
training,12,0962bcdd.json,train,2,12,12,12,12,img/tasks/0962bcdd_train_input_2.png,img/tasks/0962bcdd_train_output_2.png,|000000000000|000000000000|000800000000|008680000000|000800000000|000000000000|000000000000|000000000000|000000008000|000000086800|000000008000|000000000000|,|000000000000|060806000000|006860000000|088688000000|006860000000|060806000000|000000000000|000000608060|000000068600|000000886880|000000068600|000000608060|
training,12,0962bcdd.json,test,1,12,12,12,12,img/tasks/0962bcdd_test_input_1.png,img/tasks/0962bcdd_test_output_1.png,|000000000000|000000003000|000000034300|000000003000|000000000000|000000000000|003000000000|034300000000|003000000000|000000000000|000000000000|000000000000|,|000000403040|000000043400|000000334330|000000043400|000000403040|403040000000|043400000000|334330000000|043400000000|403040000000|000000000000|000000000000|
training,13,0a938d79.json,train,1,10,25,10,25,img/tasks/0a938d79_train_input_1.png,img/tasks/0a938d79_train_output_1.png,|0000020000000000000000000|0000000000000000000000000|0000000000000000000000000|0000000000000000000000000|0000000000000000000000000|0000000000000000000000000|0000000000000000000000000|0000000000000000000000000|0000000000000000000000000|0000000800000000000000000|,|0000020802080208020802080|0000020802080208020802080|0000020802080208020802080|0000020802080208020802080|0000020802080208020802080|0000020802080208020802080|0000020802080208020802080|0000020802080208020802080|0000020802080208020802080|0000020802080208020802080|
training,13,0a938d79.json,train,2,7,23,7,23,img/tasks/0a938d79_train_input_2.png,img/tasks/0a938d79_train_output_2.png,|00000100000000000000000|00000000000000000000000|00000000000000000000000|00000000000000000000000|00000000000000000000000|00000000000000000000000|00000000300000000000000|,|00000100300100300100300|00000100300100300100300|00000100300100300100300|00000100300100300100300|00000100300100300100300|00000100300100300100300|00000100300100300100300|
training,13,0a938d79.json,train,3,22,9,22,9,img/tasks/0a938d79_train_input_3.png,img/tasks/0a938d79_train_output_3.png,|000000000|000000000|000000000|000000000|000000000|200000000|000000000|000000003|000000000|000000000|000000000|000000000|000000000|000000000|000000000|000000000|000000000|000000000|000000000|000000000|000000000|000000000|,|000000000|000000000|000000000|000000000|000000000|222222222|000000000|333333333|000000000|222222222|000000000|333333333|000000000|222222222|000000000|333333333|000000000|222222222|000000000|333333333|000000000|222222222|
training,13,0a938d79.json,train,4,24,8,24,8,img/tasks/0a938d79_train_input_4.png,img/tasks/0a938d79_train_output_4.png,|00000000|00000000|00000000|00000000|00000000|00000000|00000000|40000000|00000000|00000000|00000000|10000000|00000000|00000000|00000000|00000000|00000000|00000000|00000000|00000000|00000000|00000000|00000000|00000000|,|00000000|00000000|00000000|00000000|00000000|00000000|00000000|44444444|00000000|00000000|00000000|11111111|00000000|00000000|00000000|44444444|00000000|00000000|00000000|11111111|00000000|00000000|00000000|44444444|
training,13,0a938d79.json,test,1,11,27,11,27,img/tasks/0a938d79_test_input_1.png,img/tasks/0a938d79_test_output_1.png,|000003000000000000000000000|000000000000000000000000000|000000000000000000000000000|000000000000000000000000000|000000000000000000000000000|000000000000000000000000000|000000000000000000000000000|000000000000000000000000000|000000000000000000000000000|000000000000000000000000000|000000000040000000000000000|,|000003000040000300004000030|000003000040000300004000030|000003000040000300004000030|000003000040000300004000030|000003000040000300004000030|000003000040000300004000030|000003000040000300004000030|000003000040000300004000030|000003000040000300004000030|000003000040000300004000030|000003000040000300004000030|
training,14,0b148d64.json,train,1,21,21,10,10,img/tasks/0b148d64_train_input_1.png,img/tasks/0b148d64_train_output_1.png,|888880888800008888088|800808088800008880008|888000888800008808888|880888808800008800088|888808808800008880888|000880800800008000800|888800808000008880888|800800880800008088888|888888080000008888800|000000000000000000000|000000000000000000000|022200222200008808808|202220022200008888080|022222202000008880008|222202222200008808880|222222020000008888800|222220202200008080888|220220000000008808008|022002200200008000880|222222222200000880088|202202222200008880888|,|0222002222|2022200222|0222222020|2222022222|2222220200|2222202022|2202200000|0220022002|2222222222|2022022222|
training,14,0b148d64.json,train,2,18,19,7,9,img/tasks/0b148d64_train_input_2.png,img/tasks/0b148d64_train_output_2.png,|2022220000202222002|2222022000022222000|0022020000222022222|2020220000022222200|0202222000000220222|2220202000202222020|0000000000000000000|0000000000000000000|0000000000000000000|0000000000000000000|0000000000000000000|2020002000033333033|0220022000333000330|0220020000333030300|2220022000330003333|2002220000300030303|2020002000033033303|0220220000033003030|,|033333033|333000330|333030300|330003333|300030303|033033303|033003030|
training,14,0b148d64.json,train,3,19,17,9,6,img/tasks/0b148d64_train_input_3.png,img/tasks/0b148d64_train_output_3.png,|01011100110100000|10100000111111011|11011000111111011|11001100110111111|01110000110001110|10010000110011111|00011000111001001|00000000000000000|00000000000000000|00000000000000000|40040400100111111|44440400101111110|40400400010011111|04444000110010101|44404400111111110|04444000010000111|04440400010101110|04000000101110101|44040400111001110|,|400404|444404|404004|044440|444044|044440|044404|040000|440404|
training,14,0b148d64.json,test,1,15,17,6,6,img/tasks/0b148d64_test_input_1.png,img/tasks/0b148d64_test_output_1.png,|11110100303333330|10101100030333000|11011000000333300|00011100330330300|11111100030333033|11111100330003003|00000000000000000|00000000000000000|00000000000000000|00000000000000000|30000300333030303|03300300030333000|33333000300030003|30303000033333303|03300000003330330|,|111101|101011|110110|000111|111111|111111|
training,15,0ca9ddb6.json,train,1,9,9,9,9,img/tasks/0ca9ddb6_train_input_1.png,img/tasks/0ca9ddb6_train_output_1.png,|000000000|000000000|000000000|002000000|000000000|000000000|000000100|000000000|000000000|,|000000000|000000000|040400000|002000000|040400000|000000700|000007170|000000700|000000000|
training,15,0ca9ddb6.json,train,2,9,9,9,9,img/tasks/0ca9ddb6_train_input_2.png,img/tasks/0ca9ddb6_train_output_2.png,|000800000|000000000|000000200|001000000|000000000|000000000|000000100|020000000|000000000|,|000800000|000004040|007000200|071704040|007000000|000000700|404007170|020000700|404000000|
training,15,0ca9ddb6.json,train,3,9,9,9,9,img/tasks/0ca9ddb6_train_input_3.png,img/tasks/0ca9ddb6_train_output_3.png,|000000000|000000000|002000000|000000000|000000000|000000600|000000000|000100000|000000000|,|000000000|040400000|002000000|040400000|000000000|000000600|000700000|007170000|000700000|
training,15,0ca9ddb6.json,test,1,9,9,9,9,img/tasks/0ca9ddb6_test_input_1.png,img/tasks/0ca9ddb6_test_output_1.png,|000000000|000000000|000000100|002000000|000000000|000008000|000000000|060000020|000000000|,|000000000|000000700|040407170|002000700|040400000|000008000|000000404|060000020|000000404|
training,16,0d3d703e.json,train,1,3,3,3,3,img/tasks/0d3d703e_train_input_1.png,img/tasks/0d3d703e_train_output_1.png,|312|312|312|,|456|456|456|
training,16,0d3d703e.json,train,2,3,3,3,3,img/tasks/0d3d703e_train_input_2.png,img/tasks/0d3d703e_train_output_2.png,|238|238|238|,|649|649|649|
training,16,0d3d703e.json,train,3,3,3,3,3,img/tasks/0d3d703e_train_input_3.png,img/tasks/0d3d703e_train_output_3.png,|586|586|586|,|192|192|192|
training,16,0d3d703e.json,train,4,3,3,3,3,img/tasks/0d3d703e_train_input_4.png,img/tasks/0d3d703e_train_output_4.png,|942|942|942|,|836|836|836|
training,16,0d3d703e.json,test,1,3,3,3,3,img/tasks/0d3d703e_test_input_1.png,img/tasks/0d3d703e_test_output_1.png,|813|813|813|,|954|954|954|
training,17,0dfd9992.json,train,1,21,21,21,21,img/tasks/0dfd9992_train_input_1.png,img/tasks/0dfd9992_train_output_1.png,|365632365632365632365|632365632365632365632|521254521254521254521|632365632365632365632|365632365632365000005|254521250021254000004|365632300002365000005|632365600005632365632|521254500004521254521|632365630065632365632|365632365632365632365|254001254521254521254|365002365632365632365|632005632365632365632|521254521254521254521|632365632365632365632|365600065632365632365|254500054521254521254|365600065632365632365|632365632365632365632|521254521254521254521|,|365632365632365632365|632365632365632365632|521254521254521254521|632365632365632365632|365632365632365632365|254521254521254521254|365632365632365632365|632365632365632365632|521254521254521254521|632365632365632365632|365632365632365632365|254521254521254521254|365632365632365632365|632365632365632365632|521254521254521254521|632365632365632365632|365632365632365632365|254521254521254521254|365632365632365632365|632365632365632365632|521254521254521254521|
