task_type,task_number,task_name,example_type,example_number,input_height,input_width,output_height,output_width,input_filename,output_filename,input_grid,output_grid
evaluation,7,0692e18c.json,test,1,3,3,9,9,img/tasks/0692e18c_test_input_1.png,img/tasks/0692e18c_test_output_1.png,|003|330|030|,|000000330|000000003|000000303|330330000|003003000|303303000|000330000|000003000|000303000|
evaluation,8,070dd51e.json,train,1,30,20,30,20,img/tasks/070dd51e_train_input_1.png,img/tasks/070dd51e_train_output_1.png,|00000000000000000000|00000000000000000000|00000020000000000000|00000000000000000000|00000000000000000000|00000000000000000000|00030000000300000000|00000000000000000000|00000000000000000000|00000000000000000000|00000000000000000000|00000000000000000000|00000000000000800000|00000020000000000000|00000000000000000000|00000000000000000000|00000000000000000000|00000000000000800000|00006000000000000000|00000000000000000000|00500005000000000000|00000000000000000000|00000000000000000000|00000000000000000000|00000000000000000000|00000000000000000000|00000000000000000000|00006000000000000000|00000000000000000000|00000000000000000000|,|00000000000000000000|00000000000000000000|00000020000000000000|00000020000000000000|00000020000000000000|00000020000000000000|00033323333300000000|00000020000000000000|00000020000000000000|00000020000000000000|00000020000000000000|00000020000000000000|00000020000000800000|00000020000000800000|00000000000000800000|00000000000000800000|00000000000000800000|00000000000000800000|00006000000000000000|00006000000000000000|00556555000000000000|00006000000000000000|00006000000000000000|00006000000000000000|00006000000000000000|00006000000000000000|00006000000000000000|00006000000000000000|00000000000000000000|00000000000000000000|
evaluation,8,070dd51e.json,train,2,20,10,20,10,img/tasks/070dd51e_train_input_2.png,img/tasks/070dd51e_train_output_2.png,|0000000000|0000000000|0004000000|0000000000|0030000300|0000000000|0000000000|0000000000|0070070000|0000000000|0004000000|0000000000|0000090000|0000000000|0800008000|0000000000|0000000000|0000000000|0000090000|0000000000|,|0000000000|0000000000|0004000000|0004000000|0034333300|0004000000|0004000000|0004000000|0074770000|0004000000|0004000000|0000000000|0000090000|0000090000|0888898000|0000090000|0000090000|0000090000|0000090000|0000000000|
evaluation,8,070dd51e.json,test,1,20,20,20,20,img/tasks/070dd51e_test_input_1.png,img/tasks/070dd51e_test_output_1.png,|00000000000000000000|00030000000000000000|00000000050000000000|02000000000000002000|00000000000000000000|00000000000000000000|00000000000000000000|00000007000007000000|00000000000000000000|00000000050000000000|00000000000000000000|00000000000000000000|00000000000000000000|00000000000000000000|00000000800000800000|00000000000000000000|00000000000000000000|00000000000000000000|00030000000000000000|00000000000000000000|,|00000000000000000000|00030000000000000000|00030000050000000000|02232222252222222000|00030000050000000000|00030000050000000000|00030000050000000000|00030007757777000000|00030000050000000000|00030000050000000000|00030000000000000000|00030000000000000000|00030000000000000000|00030000000000000000|00030000888888800000|00030000000000000000|00030000000000000000|00030000000000000000|00030000000000000000|00000000000000000000|
evaluation,9,08573cc6.json,train,1,11,11,11,11,img/tasks/08573cc6_train_input_1.png,img/tasks/08573cc6_train_output_1.png,|56000000000|00000000000|00000000000|00000000000|00010000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|,|00000000000|00000000000|55555600000|00000600000|05510600000|06000600000|06000600000|06555500000|00000000000|00000000000|00000000000|
evaluation,9,08573cc6.json,train,2,11,11,11,11,img/tasks/08573cc6_train_input_2.png,img/tasks/08573cc6_train_output_2.png,|32000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000010000|00000000000|00000000000|00000000000|00000000000|,|00000000000|00000000000|00000000000|00000000000|00333333200|00200000200|00203310200|00202000200|00202000200|00202333300|00200000000|
evaluation,9,08573cc6.json,train,3,12,12,12,12,img/tasks/08573cc6_train_input_3.png,img/tasks/08573cc6_train_output_3.png,|530000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000001000000|000000000000|000000000000|000000000000|000000000000|000000000000|,|000000000000|000000000000|555555555300|000000000300|055555530300|030000030300|030551030300|030300030300|030300030300|030355550300|030000000300|035555555500|
evaluation,9,08573cc6.json,test,1,13,13,13,13,img/tasks/08573cc6_test_input_1.png,img/tasks/08573cc6_test_output_1.png,|2800000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000001000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|,|0000000000008|2222222222808|8000000000808|8022222280808|8080000080808|8080221080808|8080800080808|8080800080808|8080822220808|8080000000808|8082222222208|8000000000008|8222222222222|
evaluation,10,0934a4d8.json,train,1,30,30,4,4,img/tasks/0934a4d8_train_input_1.png,img/tasks/0934a4d8_train_output_1.png,|311956711457399119937541176591|139565174175431331345714715659|693171569914911441194199651713|911317659941134114311499567131|666731593491672552761943951376|667613919313765225673139193167|676619319114696776964119139166|766696131341967667691431318888|149939911161525555251611198888|419943131116255555526111318888|571491142211555225551122418888|754113412111552552551112143114|349167697633116116113367967619|931376966733111661113376696731|911425673376121111216733765241|134152763367221111227633672514|134152763367221111227633672514|911425673376121111216733765241|931376966733111661113376696731|349167697633116116113367967619|754113412111552552551112143114|571491142211555225551122411941|419943131116255555526111313499|149939911161525555251611199399|766696131341967667691431316966|676619319114696776964119139166|667613919313765225673139193167|666731593491672552761943951376|911317659941134114311499567131|693171569914911441194199651713|,|6966|9399|3499|1941|
evaluation,10,0934a4d8.json,train,2,30,30,4,5,img/tasks/0934a4d8_train_input_2.png,img/tasks/0934a4d8_train_output_2.png,|992344753366356446536633574432|793544573366634664366633754453|329975444133644774463888885799|237957441433467447643888887597|779399533664679999764888889939|773979325346269999626888889793|937732996447926776297446992377|397723794674292662924764973277|334135642477167227617742465314|331463462271612772161722643641|663364471124721661274211744633|663346741322276116722231476433|366462929997241771427999292646|534676299979227777229799926764|644799629799312442139979269974|467499767999112222119997679947|467499767999112222119997679947|644799629799312442139979269974|534676299979227777229799926764|366462929997241771427999292646|663346741322276116722231476433|663364471124721661274211744633|331463462271612772161722643641|334135642477167227617742465314|397723794674292662924764973277|937732996447926776297446992377|773979325346269999626435239793|779399533664679999764663359939|237957441433467447643341447597|329975444133644774463314445799|,|31444|34144|66335|43523|
evaluation,10,0934a4d8.json,train,3,30,30,9,4,img/tasks/0934a4d8_train_input_3.png,img/tasks/0934a4d8_train_output_3.png,|353366541499439999349941456633|533366454199349119439914546633|113554669114994554994119664553|115345661941914444191491665435|699935334399926996299934335399|969953333491999669991943333599|996911359944699229964499531196|999611539154969999694519351169|149143995572432442342755993419|411934914527344224437254194391|991499456455244334425546549941|994191444545423443245454441914|439999695977557227557795969999|349129969577452772547759699219|994469997759545555459577988884|915496297795464554645977988885|915496297795464554645977988885|994469997759545555459577988884|349129969577452772547759688889|439999695977557227557795988889|994191444545423443245454488884|991499456455244334425546588881|411934914527344224437254188881|149143995572432442342755993419|999611539154969999694519351169|996911359944699229964499531196|969953333491999669991943333599|699935334399926996299934335399|115345661941914444191491665435|113554669114994554994119664553|,|9964|2694|2694|9964|9921|6999|4191|4994|9439|
evaluation,10,0934a4d8.json,train,4,30,30,3,7,img/tasks/0934a4d8_train_input_4.png,img/tasks/0934a4d8_train_output_4.png,|194499276699767227679966729944|714499726699672772769966279944|271927994466725115276644997291|727172994466275555726644992717|967219447672926446292767449127|692771446727994664997276441772|729627197255459229545527917269|276972712715549999455172172796|664476723714977667794173276744|664467274344796776974434727644|996672513737769779677373152766|996627557743677997763477557266|767299456659374444739566549927|672729546695434114345966459272|725564995966773773776695994655|271546299566734334376659926451|271546299566734334376659926451|725564995966773773776695994655|672729546695434114345966459272|767299456659888888839566549927|996627557743888888863477557266|996672513737888888877373152766|664467274344796776974434727644|664476723714977667794173276744|276972712715549999455172172796|729627197255459229545527917269|692771446727994664997276441772|967219447672926446292767449127|727172994466275555726644992717|271927994466725115276644997291|,|3744447|6779977|7697796|
evaluation,10,0934a4d8.json,test,1,30,30,9,3,img/tasks/0934a4d8_test_input_1.png,img/tasks/0934a4d8_test_output_1.png,|441357796166447777446616977531|443375976666447227446666795733|344479575161779999771615759744|434497751566721991276651577944|977444334477973223797744334447|794744314472792332972744134474|749734447791749779471977444379|477943447299477997749927443497|665144777226462222646227774415|161544723766642222466673274451|666677999172224664222719997766|661672191537226446227351912761|447797749916726666276199477977|447279479961376226731699749727|888132971699517227159961792319|888923796199193773919916973299|888923796199193773919916973299|888132971699517227159961792319|888279479961376226731699749727|888797749916726666276199477977|888672191537226446227351912761|888677999172224664222719997766|888544723766642222466673274451|665144777226462222646227774415|477943447299477997749927443497|749734447791749779471977444379|794744314472792332972744134474|977444334477973223797744334447|434497751566721991276651577944|344479575161779999771615759744|,|779|729|729|779|447|447|661|666|161|
evaluation,11,09c534e7.json,train,1,30,30,30,30,img/tasks/09c534e7_train_input_1.png,img/tasks/09c534e7_train_output_1.png,|000000000000000000000000000000|000000000000000000000011110000|000000000000111110000011110000|000001110000111110000011110000|000001111111112111111111110000|000001110000111110000011110000|000000100000111110000000000000|000001110000001000000000000000|000001110000001000000000000000|000001110000001000000000000000|000000000000001000000000000000|000000000011111111100111100111|000001110011111111111111111111|000001111111111111100111100111|000001110011111111100111100000|000000000011111111100000000000|000000000000000100000000000000|000000001110000100000000000000|001110001110000100000000000000|001110001110001111000000000000|001110000100001111011101110000|000100000100001111011111110000|000100011111001111011101110000|001110011111000000000000100000|001111111111000000000000100000|001110011111001111110000100000|000000011111111111110001110000|000000011111001111111111110000|000000000000001113110001110000|000000000000001111110001110000|,|000000000000000000000000000000|000000000000000000000011110000|000000000000111110000012210000|000001110000122210000012210000|000001211111122211111112210000|000001110000122210000011110000|000000100000111110000000000000|000001110000001000000000000000|000001210000001000000000000000|000001110000001000000000000000|000000000000001000000000000000|000000000011111111100111100111|000001110012222222111122111121|000001211112222222100122100111|000001110012222222100111100000|000000000011111111100000000000|000000000000000100000000000000|000000001110000100000000000000|001110001310000100000000000000|001310001110001111000000000000|001110000100001221011101110000|000100000100001221013111310000|000100011111001111011101110000|001110013331000000000000100000|001311113331000000000000100000|001110013331001111110000100000|000000013331111333310001110000|000000011111001333311111310000|000000000000001333310001310000|000000000000001111110001110000|
